Madison,Coolidge,1500,26401,4,9,,
Monroe,Cleveland,2000,108001,4,5,,
Pierce,Polk,4000,309801,2,2,,
Buchanan,Johnson,3500,247900,3,3,,
Hayes,Jefferson,2500,218701,3,1,,
Garfield,Taylor,5000,33801,3,8,,
総取引における距離の平均,2777,合算地,25000,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,2
売りたい家の数,12,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Johnson,Pierce,3000,245001,2,3,,
Bush,Madison,2000,108001,4,4,,
Nixson,Fillmore,2000,309801,1,6,,
Coolidge,Obama,500,74800,1,5,,
Polk,Harrison,2000,336001,1,1,,
Cleveland,Adams,1500,33801,2,7,,
総取引における距離の平均,1833,合算地,11000,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,1
売りたい家の数,9,買いたい家の数,5,,,,
売れた家の数,5,買えた家の数,5,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Truman,Clinton,3000,257501,1,5,,
Adams,Carter,500,232701,2,3,,
Jefferson,Clinton,3000,45801,4,5,,
Fillmore,Washington,3000,168001,4,4,,
Harrison,Jackson,1000,309801,1,1,,
総取引における距離の平均,2100,合算地,10500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,2
売りたい家の数,7,買いたい家の数,5,,,,
売れた家の数,5,買えた家の数,5,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Carter,Tyler,2000,302401,2,2,,
Clinton,Arthur,1500,348001,1,4,,
Washington,Truman,500,97001,3,5,,
Jackson,Nixson,3000,198001,1,3,,
総取引における距離の平均,1750,合算地,7000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,1
売りたい家の数,12,買いたい家の数,3,,,,
売れた家の数,3,買えた家の数,3,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Ford,Lincoln,2000,115200,1,3,,
Tyler,Mckinley,2000,312801,1,1,,
Arthur,Grant,2500,309801,2,2,,
総取引における距離の平均,2166,合算地,6500,何番目に好きな人に売れたの平均,2,何番目に好きな人から買えたの平均,1
売りたい家の数,11,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Kennedy,Ford,1500,94401,5,6,,
Roosevelt,Monroe,2500,108001,2,4,,
Buren,Obama,1500,94401,5,5,,
Pierce,Hoover,2000,309800,1,7,,
Lincoln,Hayes,1000,108001,3,3,,
Mckinley,Garfield,2000,302401,1,2,,
総取引における距離の平均,1750,合算地,10500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,2
売りたい家の数,10,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Taft,Coolidge,1000,193301,1,3,,
Hoover,Cleveland,1500,257501,1,1,,
Obama,Buchanan,2500,45801,3,6,,
Monroe,Pierce,1500,108001,1,4,,
Grant,Buren,1000,74801,3,5,,
Garfield,Taylor,5000,33801,2,7,,
総取引における距離の平均,2083,合算地,12500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,1
売りたい家の数,11,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Eisenhower,Truman,1000,158801,5,5,,
Coolidge,Harrison,1500,74801,4,6,,
Fillmore,Reagan,1500,168000,2,4,,
Buchanan,Madison,500,247901,2,2,,
Hayes,Jefferson,2500,218701,3,3,,
総取引における距離の平均,1400,合算地,7000,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,3
売りたい家の数,10,買いたい家の数,9,,,,
売れた家の数,9,買えた家の数,9,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Nixson,Jackson,3000,309801,1,5,,
Truman,Taft,2000,257501,5,6,,
Carter,Washington,1500,302401,2,4,,
Jefferson,Kennedy,2000,45800,2,9,,
Madison,Kennedy,2500,26400,3,9,,
Polk,Adams,2000,336001,1,1,,
Cleveland,Roosevelt,2500,33801,2,8,,
Harrison,Fillmore,1000,309801,1,2,,
総取引における距離の平均,2062,合算地,16500,何番目に好きな人に売れたの平均,5,何番目に好きな人から買えたの平均,2
売りたい家の数,7,買いたい家の数,6,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Kennedy,Eisenhower,1000,94400,6,6,,
Adams,Carter,500,232701,2,3,,
Washington,Bush,2000,97001,5,5,,
Jackson,Nixson,3000,198001,4,4,,
Taylor,Polk,4500,264801,1,1,,
Arthur,Ford,3000,309801,1,1,,
総取引における距離の平均,2333,合算地,14000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,3
売りたい家の数,6,買いたい家の数,2,,,,
売れた家の数,2,買えた家の数,2,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Bush,Arthur,2000,108000,2,2,,
Ford,Mckinley,2500,115201,1,1,,
総取引における距離の平均,2250,合算地,4500,何番目に好きな人に売れたの平均,1,何番目に好きな人から買えたの平均,1
売りたい家の数,11,買いたい家の数,3,,,,
売れた家の数,3,買えた家の数,3,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Buren,Garfield,2000,2,2,3,,
Pierce,Lincoln,1000,2,2,3,,
総取引における距離の平均,1500,合算地,3000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,2
売りたい家の数,12,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Reagan,Obama,1500,1,4,7,,
Clinton,Buren,2000,2,4,6,,
Tyler,Monroe,2000,2,1,6,,
Lincoln,Hayes,1000,2,1,1,,
Grant,Fillmore,1500,2,1,2,,
Garfield,Buchanan,4000,2,2,3,,
Mckinley,Pierce,2500,2,3,1,,
総取引における距離の平均,2071,合算地,14500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,2
総取引における距離の平均,2642,合算地,18500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,2
総取引における距離の平均,2583,合算地,15500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,3
